Timestamp,Milliseconds,centimeters
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452065,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
2019-05-13 08:52:49,452066,0.0
