Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2019-05-13 09:08:35,1398302,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1398401,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1398501,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1398601,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1398701,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1398801,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1398901,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1399001,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1399101,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1399201,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:36,1399302,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1399401,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1399501,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1399601,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1399701,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1399802,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1399901,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1400001,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1400101,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1400202,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:37,1400301,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:38,1400401,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:38,1400501,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:38,1400602,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:38,1400701,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:48,1411053,0.164404,-0.072973,-0.703846,0.687201,0.0
